ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,hour,month,day_name,year,Crime_Severity_Score,Crime_Type_Code,KMeans_Cluster,DBSCAN_Cluster,HC_Cluster,Temporal_cluster,TSNE_1,TSNE_2
14018945,JJ477207,2025-11-04 00:00:00,078XX S MARYLAND AVE,041A,BATTERY,AGGRAVATED - HANDGUN,ALLEY,0,0,624,6,8,69,04B,1183259.0,1853307.0,2025,11/11/2025 03:41:33 PM,41.752668856,-87.603998269,"(41.752668856, -87.603998269)",0,11,1,2025,3,2,2,-1,0,6,49.81927,-62.40606
14018913,JJ477186,2025-11-04 00:00:00,118XX S WATKINS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,0,0,2234,22,21,75,11,1165512.0,1826202.0,2025,11/11/2025 03:41:33 PM,41.678682829,-87.669799171,"(41.678682829, -87.669799171)",0,11,1,2025,1,8,2,-1,0,6,65.685936,-46.546238
14018617,JJ476833,2025-11-04 00:00:00,064XX S MOBILE AVE,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,0,0,812,8,13,64,06,1135529.0,1861211.0,2025,11/11/2025 03:41:33 PM,41.775336129,-87.778724925,"(41.775336129, -87.778724925)",0,11,1,2025,2,26,2,-1,0,6,64.01396,-40.742878
14018728,JJ476834,2025-11-04 00:00:00,036XX N RECREATION DR,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),0,0,1925,19,46,6,06,1172031.0,1924865.0,2025,11/11/2025 03:41:33 PM,41.949283608,-87.643036076,"(41.949283608, -87.643036076)",0,11,1,2025,2,3,2,-1,0,6,60.991505,-48.73651
14020159,JJ478541,2025-11-04 00:00:00,013XX S MICHIGAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,0,1,131,1,3,33,26,1177436.0,1894247.0,2025,11/11/2025 03:41:33 PM,41.865145359,-87.624098901,"(41.865145359, -87.624098901)",0,11,1,2025,1,19,2,-1,1,6,64.72916,-45.18016
14018432,JJ476549,2025-11-04 00:00:00,002XX E 71ST ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,323,3,6,69,08A,1178969.0,1857991.0,2025,11/11/2025 03:41:33 PM,41.765620989,-87.619576803,"(41.765620989, -87.619576803)",0,11,1,2025,1,19,2,-1,0,6,65.50167,-45.411747
14020328,JJ478986,2025-11-04 00:00:00,064XX S LOWE AVE,0560,ASSAULT,SIMPLE,APARTMENT,0,1,723,7,20,68,08A,1173144.0,1862203.0,2025,11/11/2025 03:41:33 PM,41.777309867,-87.640802922,"(41.777309867, -87.640802922)",0,11,1,2025,3,1,0,-1,1,6,50.38577,-61.750725
14018572,JJ476729,2025-11-04 00:00:00,066XX S WOODLAWN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,0,0,321,3,20,42,14,1185358.0,1861195.0,2025,11/11/2025 03:41:33 PM,41.774265187,-87.596058633,"(41.774265187, -87.596058633)",0,11,1,2025,3,5,2,-1,0,6,49.80314,-62.502518
14018964,JJ477122,2025-11-04 00:00:00,078XX S CHAMPLAIN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,0,1,624,6,6,69,08A,1181921.0,1853233.0,2025,11/11/2025 03:41:33 PM,41.752496812,-87.608903722,"(41.752496812, -87.608903722)",0,11,1,2025,3,1,0,-1,1,6,49.864933,-62.324287
14018639,JJ476763,2025-11-04 00:00:00,018XX S CENTRAL PARK AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,0,1,1014,10,24,29,04A,1152671.0,1890538.0,2025,11/11/2025 03:41:33 PM,41.855492886,-87.71511001,"(41.855492886, -87.71511001)",0,11,1,2025,3,1,0,-1,1,6,54.06147,-56.166565
